호텔명,입실,퇴실,지역,숙박유형,별점,등급,가격,가장 가까운 공항,가장 가까운 공항과의 거리,가장 가까운 공항까지 시간
리가 로얄 그랑 오키나와,2023-08-10,2023-08-11,오키나와,호텔,8.9,4성급,163394,Naha Airport,4.2 km,8 mins
호텔 로코어 나하,2023-08-10,2023-08-11,오키나와,호텔,8.5,3성급,76702,Naha Airport,4.7 km,11 mins
오키나와 나하나 호텔 & 스파,2023-08-10,2023-08-11,오키나와,호텔,7.7,4성급,60973,Naha Airport,15.3 km,24 mins
더 리츠칼튼 오키나와,2023-08-10,2023-08-11,오키나와,호텔,8.8,5성급,575073,Naha Airport,75.0 km,1 hour 8 mins
컴포트 호텔 나하 프리펙추얼 오피스,2023-08-10,2023-08-11,오키나와,호텔,7.8,3성급,65563,Naha Airport,4.7 km,11 mins
라젠트 호텔 오키니와 자탄,2023-08-10,2023-08-11,오키나와,호텔,8.7,4성급,31770,Naha Airport,15.3 km,24 mins
르와지르 스파 타워 나하,2023-08-10,2023-08-11,오키나와,호텔,8.2,4성급,188020,Naha Airport,4.7 km,11 mins
머큐어 호텔 오키나와 나하,2023-08-10,2023-08-11,오키나와,호텔,8.2,3성급,77302,Naha Airport,5.0 km,12 mins
다이와 로이넷 호텔 나하 고쿠사이도리,2023-08-10,2023-08-11,오키나와,호텔,8.4,3성급,62640,Naha Airport,7.9 km,19 mins
오키나와 가리유시 비치 리조트 오션 스파,2023-08-10,2023-08-11,오키나와,호텔,7.9,4성급,141242,Naha Airport,64.1 km,1 hour 6 mins
쉐라톤 오키나와 선마리나 리조트,2023-08-10,2023-08-11,오키나와,호텔,8.6,4성급,655195,Naha Airport,51.0 km,53 mins
오키나와 하버뷰 호텔,2023-08-10,2023-08-11,오키나와,호텔,8.1,4성급,137538,Naha Airport,15.3 km,24 mins
호텔 오션 오키나와,2023-08-10,2023-08-11,오키나와,호텔,8.6,3성급,76499,Naha Airport,15.3 km,24 mins
오쿠마 프라이빗 비치 & 리조트,2023-08-10,2023-08-11,오키나와,호텔,8.5,4성급,421061,Naha Airport,105 km,1 hour 45 mins
호텔 JAL 시티 나하,2023-08-10,2023-08-11,오키나와,호텔,8.6,3성급,88300,Naha Airport,5.4 km,15 mins
노보텔 오키나와 나하 호텔,2023-08-10,2023-08-11,오키나와,호텔,8.4,4성급,158996,Naha Airport,4.7 km,11 mins
호텔 라이브맥스 나하-마쓰야마,2023-08-10,2023-08-11,오키나와,호텔,6.9,3성급,39363,Fukuoka Airport,324 km,5 hours 51 mins
베스트 웨스턴 오키나와 고우키 비치,2023-08-10,2023-08-11,오키나와,호텔,8.5,3성급,197291,Naha Airport,15.3 km,24 mins
호텔 유가후 인 오키나와,2023-08-10,2023-08-11,오키나와,호텔,8.2,3성급,76321,Naha Airport,79.0 km,1 hour 13 mins
알몬트 호텔 나하 오모로마치,2023-08-10,2023-08-11,오키나와,호텔,8.2,3성급,65046,Naha Airport,7.9 km,19 mins
카후 리조트 후차쿠 콘도 호텔,2023-08-10,2023-08-11,오키나와,호텔,8.6,4성급,458481,Naha Airport,50.8 km,52 mins
더 나하 테라스,2023-08-10,2023-08-11,오키나와,호텔,8.6,4성급,221230,Naha Airport,7.0 km,18 mins
퍼시픽 호텔 오키나와,2023-08-10,2023-08-11,오키나와,호텔,7.5,3성급,79956,Naha Airport,5.2 km,10 mins
로와지르 호텔 나하,2023-08-10,2023-08-11,오키나와,호텔,7.6,3성급,150587,Naha Airport,4.9 km,11 mins
베스트 웨스턴 오키나와 온나 비치,2023-08-10,2023-08-11,오키나와,호텔,8.5,3성급,270758,Naha Airport,37.7 km,1 hour 2 mins
호텔 로코 인 오키나와,2023-08-10,2023-08-11,오키나와,호텔,7.9,3성급,38399,Naha Airport,15.3 km,24 mins
시사이드 호텔 더 비치,2023-08-10,2023-08-11,오키나와,호텔,7.9,3성급,48478,Naha Airport,22.6 km,43 mins
호텔 닛코 아리비라,2023-08-10,2023-08-11,오키나와,호텔,8.9,4성급,499486,Naha Airport,33.3 km,1 hour 3 mins
로얄 호텔 오키나와 잔파미사키,2023-08-10,2023-08-11,오키나와,호텔,8.1,3성급,327142,Naha Airport,36.1 km,1 hour 8 mins
유쿠리나 리조트 오키나와 우미카지,2023-08-10,2023-08-11,오키나와,호텔,,3성급,129781,Naha Airport,4.7 km,10 mins
콘도미니엄 호텔 몬파,2023-08-10,2023-08-11,오키나와,호텔,8.5,3성급,167738,Naha Airport,20.4 km,38 mins
Apa 호텔 나하,2023-08-10,2023-08-11,오키나와,호텔,7,3성급,31760,Naha Airport,4.7 km,11 mins
라구나 가든 호텔,2023-08-10,2023-08-11,오키나와,호텔,8,4성급,136676,Naha Airport,15.5 km,28 mins
가네히데 기세 비치 팰리스,2023-08-10,2023-08-11,오키나와,호텔,8.4,3성급,239182,Naha Airport,72.7 km,1 hour 4 mins
호텔 토리피토 나하 아사히바시,2023-08-10,2023-08-11,오키나와,호텔,8.8,3성급,83400,Naha Airport,4.7 km,11 mins
리치몬드 호텔 나하 구모지,2023-08-10,2023-08-11,오키나와,호텔,8,3성급,59850,Naha Airport,5.0 km,12 mins
호텔 스트라타 나하,2023-08-11,2023-08-12,오키나와,호텔,8.7,3성급,192097,Naha Airport,4.7 km,11 mins
하얏트 리젠시 나하 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.7,4성급,276705,Naha Airport,6.3 km,17 mins
호텔 마하이나 웰니스 리조트 오키나와,2023-08-11,2023-08-12,오키나와,호텔,7.8,3성급,230288,Naha Airport,97.6 km,1 hour 39 mins
더 비치 타워 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.2,4성급,265118,Naha Airport,20.0 km,37 mins
JR 규슈 호텔 블로섬 나하,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,110872,Naha Airport,4.7 km,11 mins
레쿠 오키나와 차탄 스파 & 리조트,2023-08-11,2023-08-12,오키나와,호텔,8.9,4성급,336739,Naha Airport,15.3 km,24 mins
힐튼 오키나와 자탄 리조트,2023-08-11,2023-08-12,오키나와,호텔,8.7,4성급,488804,Naha Airport,18.9 km,35 mins
호텔 문 비치,2023-08-11,2023-08-12,오키나와,호텔,8.5,3성급,479765,Naha Airport,50.2 km,53 mins
오리엔탈 호텔 오키나와 리조트 & 스파,2023-08-11,2023-08-12,오키나와,호텔,8.4,4성급,519458,Naha Airport,64.6 km,1 hour 7 mins
할레쿨라니 오키나와,2023-08-11,2023-08-12,오키나와,호텔,9.3,5성급,1114032,Naha Airport,63.2 km,1 hour 5 mins
베셀 호텔 캄파나 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,242292,Naha Airport,20.5 km,39 mins
호텔 오리온 모토부 리조트 & 스파,2023-08-11,2023-08-12,오키나와,호텔,8.9,4성급,613788,Naha Airport,98.9 km,1 hour 41 mins
힐튼 오키나와 세소코 리조트,2023-08-11,2023-08-12,오키나와,호텔,8.4,4성급,613409,Naha Airport,95.6 km,1 hour 34 mins
네스트 호텔 나하,2023-08-11,2023-08-12,오키나와,호텔,8.3,3성급,97685,Naha Airport,4.7 km,11 mins
알몬트 호텔 나하 겐초마에,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,97793,Naha Airport,4.6 km,10 mins
호텔 안테룸 나하,2023-08-11,2023-08-12,오키나와,호텔,8.8,3성급,130202,Naha Airport,4.7 km,11 mins
문 비치 팰리스 호텔,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,489111,Naha Airport,50.2 km,53 mins
글램데이 스타일 오키나와 요미탄 호텔 & 리조트,2023-08-11,2023-08-12,오키나와,호텔,9.2,3성급,1032521,Naha Airport,15.3 km,24 mins
호텔 콜렉티브,2023-08-11,2023-08-12,오키나와,호텔,9.1,4성급,249342,Naha Airport,5.4 km,15 mins
마린 피아자 오키나와,2023-08-11,2023-08-12,오키나와,호텔,7.7,3성급,184429,Naha Airport,96.5 km,1 hour 37 mins
더블트리 바이 힐튼 오키나와 자탄 리조트,2023-08-11,2023-08-12,오키나와,호텔,8.8,4성급,606267,Naha Airport,21.3 km,39 mins
문 오션 기노완 호텔 앤 레지던스,2023-08-11,2023-08-12,오키나와,호텔,8.5,4성급,358483,Naha Airport,13.6 km,24 mins
호텔 몬토레 오키나와 스파＆리조트,2023-08-11,2023-08-12,오키나와,호텔,8.8,4성급,469045,Naha Airport,15.3 km,24 mins
더 유인치 호텔 난조,2023-08-11,2023-08-12,오키나와,호텔,8.5,3성급,145088,Naha Airport,17.3 km,30 mins
호텔 그레이스리 나하,2023-08-11,2023-08-12,오키나와,호텔,8.5,3성급,92031,Naha Airport,5.0 km,13 mins
호텔 WBF 아트 스테이 나하,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,66569,Naha Airport,6.0 km,15 mins
GRG 호텔 나하,2023-08-11,2023-08-12,오키나와,호텔,8.2,3성급,41809,Naha Airport,5.2 km,11 mins
호텔 팜 로열 나하 고쿠사이 스트리트,2023-08-11,2023-08-12,오키나와,호텔,8.2,3성급,88264,Naha Airport,5.7 km,17 mins
호텔 오키나와 위드 산리오 캐릭터,2023-08-11,2023-08-12,오키나와,호텔,8.3,3성급,87535,Naha Airport,15.3 km,24 mins
리가 로얄 그랑 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.9,4성급,232416,Naha Airport,4.2 km,8 mins
호텔 로코어 나하,2023-08-11,2023-08-12,오키나와,호텔,8.5,3성급,82772,Naha Airport,4.7 km,11 mins
오키나와 나하나 호텔 & 스파,2023-08-11,2023-08-12,오키나와,호텔,7.7,4성급,77364,Naha Airport,15.3 km,24 mins
도큐 스테이 오키나와 나하,2023-08-11,2023-08-12,오키나와,호텔,8.7,3성급,138224,Naha Airport,4.7 km,11 mins
더 리츠칼튼 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.8,5성급,1217797,Naha Airport,75.0 km,1 hour 8 mins
컴포트 호텔 나하 프리펙추얼 오피스,2023-08-11,2023-08-12,오키나와,호텔,7.8,3성급,68930,Naha Airport,4.7 km,11 mins
라젠트 호텔 오키니와 자탄,2023-08-11,2023-08-12,오키나와,호텔,8.7,4성급,21841,Naha Airport,15.3 km,24 mins
르와지르 스파 타워 나하,2023-08-11,2023-08-12,오키나와,호텔,8.2,4성급,222351,Naha Airport,4.7 km,11 mins
머큐어 호텔 오키나와 나하,2023-08-11,2023-08-12,오키나와,호텔,8.2,3성급,91243,Naha Airport,5.0 km,12 mins
다이와 로이넷 호텔 나하 고쿠사이도리,2023-08-11,2023-08-12,오키나와,호텔,8.4,3성급,64149,Naha Airport,7.9 km,19 mins
오키나와 가리유시 비치 리조트 오션 스파,2023-08-11,2023-08-12,오키나와,호텔,7.9,4성급,179159,Naha Airport,64.1 km,1 hour 6 mins
오키나와 하버뷰 호텔,2023-08-11,2023-08-12,오키나와,호텔,8.1,4성급,140838,Naha Airport,15.3 km,24 mins
호텔 오션 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,109283,Naha Airport,15.3 km,24 mins
오쿠마 프라이빗 비치 & 리조트,2023-08-11,2023-08-12,오키나와,호텔,8.5,4성급,606495,Naha Airport,105 km,1 hour 45 mins
호텔 JAL 시티 나하,2023-08-11,2023-08-12,오키나와,호텔,8.6,3성급,131736,Naha Airport,5.4 km,15 mins
노보텔 오키나와 나하 호텔,2023-08-11,2023-08-12,오키나와,호텔,8.4,4성급,195047,Naha Airport,4.7 km,11 mins
호텔 라이브맥스 나하-마쓰야마,2023-08-11,2023-08-12,오키나와,호텔,6.9,3성급,42643,Fukuoka Airport,324 km,5 hours 51 mins
베스트 웨스턴 오키나와 고우키 비치,2023-08-11,2023-08-12,오키나와,호텔,8.5,3성급,269938,Naha Airport,15.3 km,24 mins
호텔 유가후 인 오키나와,2023-08-11,2023-08-12,오키나와,호텔,8.2,3성급,218687,Naha Airport,79.0 km,1 hour 13 mins
알몬트 호텔 나하 오모로마치,2023-08-11,2023-08-12,오키나와,호텔,8.2,3성급,78096,Naha Airport,7.9 km,19 mins
카후 리조트 후차쿠 콘도 호텔,2023-08-11,2023-08-12,오키나와,호텔,8.6,4성급,584793,Naha Airport,50.8 km,52 mins
더 나하 테라스,2023-08-11,2023-08-12,오키나와,호텔,8.6,4성급,270834,Naha Airport,7.0 km,18 mins
퍼시픽 호텔 오키나와,2023-08-11,2023-08-12,오키나와,호텔,7.5,3성급,101482,Naha Airport,5.2 km,10 mins
로와지르 호텔 나하,2023-08-11,2023-08-12,오키나와,호텔,7.6,3성급,180179,Naha Airport,4.9 km,11 mins
호텔 로코 인 오키나와,2023-08-11,2023-08-12,오키나와,호텔,7.9,3성급,40590,Naha Airport,15.3 km,24 mins
시사이드 호텔 더 비치,2023-08-11,2023-08-12,오키나와,호텔,7.9,3성급,60138,Naha Airport,22.6 km,43 mins
호텔 닛코 아리비라,2023-08-11,2023-08-12,오키나와,호텔,8.9,4성급,615204,Naha Airport,33.3 km,1 hour 3 mins
로얄 호텔 오키나와 잔파미사키,2023-08-11,2023-08-12,오키나와,호텔,8.1,3성급,344256,Naha Airport,36.1 km,1 hour 8 mins
Apa 호텔 나하,2023-08-11,2023-08-12,오키나와,호텔,7,3성급,34563,Naha Airport,4.7 km,11 mins
라구나 가든 호텔,2023-08-11,2023-08-12,오키나와,호텔,8,4성급,157642,Naha Airport,15.5 km,28 mins
가네히데 기세 비치 팰리스,2023-08-11,2023-08-12,오키나와,호텔,8.4,3성급,254414,Naha Airport,72.7 km,1 hour 4 mins
호텔 토리피토 나하 아사히바시,2023-08-11,2023-08-12,오키나와,호텔,8.8,3성급,119436,Naha Airport,4.7 km,11 mins
리치몬드 호텔 나하 구모지,2023-08-11,2023-08-12,오키나와,호텔,8,3성급,63997,Naha Airport,5.0 km,12 mins
호텔 스트라타 나하,2023-08-12,2023-08-13,오키나와,호텔,8.7,3성급,95948,Naha Airport,4.7 km,11 mins
하얏트 리젠시 나하 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.7,4성급,379385,Naha Airport,6.3 km,17 mins
호텔 마하이나 웰니스 리조트 오키나와,2023-08-12,2023-08-13,오키나와,호텔,7.8,3성급,332990,Naha Airport,97.6 km,1 hour 39 mins
더 비치 타워 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.2,4성급,262422,Naha Airport,20.0 km,37 mins
JR 규슈 호텔 블로섬 나하,2023-08-12,2023-08-13,오키나와,호텔,8.6,3성급,116735,Naha Airport,4.7 km,11 mins
레쿠 오키나와 차탄 스파 & 리조트,2023-08-12,2023-08-13,오키나와,호텔,8.9,4성급,191977,Naha Airport,15.3 km,24 mins
호텔 문 비치,2023-08-12,2023-08-13,오키나와,호텔,8.5,3성급,520103,Naha Airport,50.2 km,53 mins
오리엔탈 호텔 오키나와 리조트 & 스파,2023-08-12,2023-08-13,오키나와,호텔,8.4,4성급,570397,Naha Airport,64.6 km,1 hour 7 mins
할레쿨라니 오키나와,2023-08-12,2023-08-13,오키나와,호텔,9.3,5성급,1931442,Naha Airport,63.2 km,1 hour 5 mins
베셀 호텔 캄파나 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.6,3성급,238902,Naha Airport,20.5 km,39 mins
호텔 오리온 모토부 리조트 & 스파,2023-08-12,2023-08-13,오키나와,호텔,8.9,4성급,615874,Naha Airport,98.9 km,1 hour 41 mins
힐튼 오키나와 세소코 리조트,2023-08-12,2023-08-13,오키나와,호텔,8.4,4성급,828911,Naha Airport,95.6 km,1 hour 34 mins
네스트 호텔 나하,2023-08-12,2023-08-13,오키나와,호텔,8.3,3성급,97685,Naha Airport,4.7 km,11 mins
알몬트 호텔 나하 겐초마에,2023-08-12,2023-08-13,오키나와,호텔,8.6,3성급,104868,Naha Airport,4.6 km,10 mins
호텔 안테룸 나하,2023-08-12,2023-08-13,오키나와,호텔,8.8,3성급,117627,Naha Airport,4.7 km,11 mins
글램데이 스타일 오키나와 요미탄 호텔 & 리조트,2023-08-12,2023-08-13,오키나와,호텔,9.2,3성급,1016460,Naha Airport,15.3 km,24 mins
호텔 콜렉티브,2023-08-12,2023-08-13,오키나와,호텔,9.1,4성급,243772,Naha Airport,5.4 km,15 mins
마린 피아자 오키나와,2023-08-12,2023-08-13,오키나와,호텔,7.7,3성급,172765,Naha Airport,96.5 km,1 hour 37 mins
문 오션 기노완 호텔 앤 레지던스,2023-08-12,2023-08-13,오키나와,호텔,8.5,4성급,386333,Naha Airport,13.6 km,24 mins
호텔 몬토레 오키나와 스파＆리조트,2023-08-12,2023-08-13,오키나와,호텔,8.8,4성급,479687,Naha Airport,15.3 km,24 mins
더 유인치 호텔 난조,2023-08-12,2023-08-13,오키나와,호텔,8.5,3성급,190193,Naha Airport,17.3 km,30 mins
호텔 그레이스리 나하,2023-08-12,2023-08-13,오키나와,호텔,8.5,3성급,82766,Naha Airport,5.0 km,13 mins
호텔 WBF 아트 스테이 나하,2023-08-12,2023-08-13,오키나와,호텔,8.6,3성급,71914,Naha Airport,6.0 km,15 mins
GRG 호텔 나하,2023-08-12,2023-08-13,오키나와,호텔,8.2,3성급,40865,Naha Airport,5.2 km,11 mins
호텔 팜 로열 나하 고쿠사이 스트리트,2023-08-12,2023-08-13,오키나와,호텔,8.2,3성급,86176,Naha Airport,5.7 km,17 mins
호텔 오키나와 위드 산리오 캐릭터,2023-08-12,2023-08-13,오키나와,호텔,8.3,3성급,114890,Naha Airport,15.3 km,24 mins
리가 로얄 그랑 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.9,4성급,251755,Naha Airport,4.2 km,8 mins
호텔 로코어 나하,2023-08-12,2023-08-13,오키나와,호텔,8.5,3성급,84663,Naha Airport,4.7 km,11 mins
오키나와 나하나 호텔 & 스파,2023-08-12,2023-08-13,오키나와,호텔,7.7,4성급,88445,Naha Airport,15.3 km,24 mins
도큐 스테이 오키나와 나하,2023-08-12,2023-08-13,오키나와,호텔,8.7,3성급,164132,Naha Airport,4.7 km,11 mins
더 리츠칼튼 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.8,5성급,1217797,Naha Airport,75.0 km,1 hour 8 mins
컴포트 호텔 나하 프리펙추얼 오피스,2023-08-12,2023-08-13,오키나와,호텔,7.8,3성급,70606,Naha Airport,4.7 km,11 mins
라젠트 호텔 오키니와 자탄,2023-08-12,2023-08-13,오키나와,호텔,8.7,4성급,22358,Naha Airport,15.3 km,24 mins
르와지르 스파 타워 나하,2023-08-12,2023-08-13,오키나와,호텔,8.2,4성급,217089,Naha Airport,4.7 km,11 mins
머큐어 호텔 오키나와 나하,2023-08-12,2023-08-13,오키나와,호텔,8.2,3성급,105280,Naha Airport,5.0 km,12 mins
다이와 로이넷 호텔 나하 고쿠사이도리,2023-08-12,2023-08-13,오키나와,호텔,8.4,3성급,68606,Naha Airport,7.9 km,19 mins
오키나와 가리유시 비치 리조트 오션 스파,2023-08-12,2023-08-13,오키나와,호텔,7.9,4성급,316989,Naha Airport,64.1 km,1 hour 6 mins
오키나와 하버뷰 호텔,2023-08-12,2023-08-13,오키나와,호텔,8.1,4성급,137538,Naha Airport,15.3 km,24 mins
호텔 오션 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.6,3성급,147529,Naha Airport,15.3 km,24 mins
오쿠마 프라이빗 비치 & 리조트,2023-08-12,2023-08-13,오키나와,호텔,8.5,4성급,554152,Naha Airport,105 km,1 hour 45 mins
호텔 JAL 시티 나하,2023-08-12,2023-08-13,오키나와,호텔,8.6,3성급,132450,Naha Airport,5.4 km,15 mins
노보텔 오키나와 나하 호텔,2023-08-12,2023-08-13,오키나와,호텔,8.4,4성급,228675,Naha Airport,4.7 km,11 mins
호텔 라이브맥스 나하-마쓰야마,2023-08-12,2023-08-13,오키나와,호텔,6.9,3성급,42643,Fukuoka Airport,324 km,5 hours 51 mins
베스트 웨스턴 오키나와 고우키 비치,2023-08-12,2023-08-13,오키나와,호텔,8.5,3성급,398169,Naha Airport,15.3 km,24 mins
호텔 유가후 인 오키나와,2023-08-12,2023-08-13,오키나와,호텔,8.2,3성급,89107,Naha Airport,79.0 km,1 hour 13 mins
알몬트 호텔 나하 오모로마치,2023-08-12,2023-08-13,오키나와,호텔,8.2,3성급,72236,Naha Airport,7.9 km,19 mins
카후 리조트 후차쿠 콘도 호텔,2023-08-12,2023-08-13,오키나와,호텔,8.6,4성급,605648,Naha Airport,50.8 km,52 mins
더 나하 테라스,2023-08-12,2023-08-13,오키나와,호텔,8.6,4성급,267548,Naha Airport,7.0 km,18 mins
퍼시픽 호텔 오키나와,2023-08-12,2023-08-13,오키나와,호텔,7.5,3성급,94043,Naha Airport,5.2 km,10 mins
로와지르 호텔 나하,2023-08-12,2023-08-13,오키나와,호텔,7.6,3성급,176062,Naha Airport,4.9 km,11 mins
호텔 로코 인 오키나와,2023-08-12,2023-08-13,오키나와,호텔,7.9,3성급,41513,Naha Airport,15.3 km,24 mins
호텔 닛코 아리비라,2023-08-12,2023-08-13,오키나와,호텔,8.9,4성급,615204,Naha Airport,33.3 km,1 hour 3 mins
로얄 호텔 오키나와 잔파미사키,2023-08-12,2023-08-13,오키나와,호텔,8.1,3성급,359854,Naha Airport,36.1 km,1 hour 8 mins
Apa 호텔 나하,2023-08-12,2023-08-13,오키나와,호텔,7,3성급,40167,Naha Airport,4.7 km,11 mins
라구나 가든 호텔,2023-08-12,2023-08-13,오키나와,호텔,8,4성급,168526,Naha Airport,15.5 km,28 mins
가네히데 기세 비치 팰리스,2023-08-12,2023-08-13,오키나와,호텔,8.4,3성급,272528,Naha Airport,72.7 km,1 hour 4 mins
호텔 토리피토 나하 아사히바시,2023-08-12,2023-08-13,오키나와,호텔,8.8,3성급,113909,Naha Airport,4.7 km,11 mins
리치몬드 호텔 나하 구모지,2023-08-12,2023-08-13,오키나와,호텔,8,3성급,79612,Naha Airport,5.0 km,12 mins
호텔 스트라타 나하,2023-08-13,2023-08-14,오키나와,호텔,8.7,3성급,94341,Naha Airport,4.7 km,11 mins
하얏트 리젠시 나하 오키나와,2023-08-13,2023-08-14,오키나와,호텔,8.7,4성급,278274,Naha Airport,6.3 km,17 mins
호텔 마하이나 웰니스 리조트 오키나와,2023-08-13,2023-08-14,오키나와,호텔,7.8,3성급,307520,Naha Airport,97.6 km,1 hour 39 mins
더 비치 타워 오키나와,2023-08-13,2023-08-14,오키나와,호텔,8.2,4성급,284004,Naha Airport,20.0 km,37 mins
JR 규슈 호텔 블로섬 나하,2023-08-13,2023-08-14,오키나와,호텔,8.6,3성급,110872,Naha Airport,4.7 km,11 mins
레쿠 오키나와 차탄 스파 & 리조트,2023-08-13,2023-08-14,오키나와,호텔,8.9,4성급,298078,Naha Airport,15.3 km,24 mins
힐튼 오키나와 자탄 리조트,2023-08-13,2023-08-14,오키나와,호텔,8.7,4성급,632244,Naha Airport,18.9 km,35 mins
호텔 문 비치,2023-08-13,2023-08-14,오키나와,호텔,8.5,3성급,479765,Naha Airport,50.2 km,53 mins
오리엔탈 호텔 오키나와 리조트 & 스파,2023-08-13,2023-08-14,오키나와,호텔,8.4,4성급,519240,Naha Airport,64.6 km,1 hour 7 mins
할레쿨라니 오키나와,2023-08-13,2023-08-14,오키나와,호텔,9.3,5성급,1065593,Naha Airport,63.2 km,1 hour 5 mins
베셀 호텔 캄파나 오키나와,2023-08-13,2023-08-14,오키나와,호텔,8.6,3성급,248157,Naha Airport,20.5 km,39 mins
호텔 오리온 모토부 리조트 & 스파,2023-08-13,2023-08-14,오키나와,호텔,8.9,4성급,615874,Naha Airport,98.9 km,1 hour 41 mins
네스트 호텔 나하,2023-08-13,2023-08-14,오키나와,호텔,8.3,3성급,99472,Naha Airport,4.7 km,11 mins
알몬트 호텔 나하 겐초마에,2023-08-13,2023-08-14,오키나와,호텔,8.6,3성급,86263,Naha Airport,4.6 km,10 mins
호텔 안테룸 나하,2023-08-13,2023-08-14,오키나와,호텔,8.8,3성급,86266,Naha Airport,4.7 km,11 mins
문 비치 팰리스 호텔,2023-08-13,2023-08-14,오키나와,호텔,8.6,3성급,513955,Naha Airport,50.2 km,53 mins
글램데이 스타일 오키나와 요미탄 호텔 & 리조트,2023-08-13,2023-08-14,오키나와,호텔,9.2,3성급,710153,Naha Airport,15.3 km,24 mins
호텔 콜렉티브,2023-08-13,2023-08-14,오키나와,호텔,9.1,4성급,249342,Naha Airport,5.4 km,15 mins
마린 피아자 오키나와,2023-08-13,2023-08-14,오키나와,호텔,7.7,3성급,172765,Naha Airport,96.5 km,1 hour 37 mins
문 오션 기노완 호텔 앤 레지던스,2023-08-13,2023-08-14,오키나와,호텔,8.5,4성급,339616,Naha Airport,13.6 km,24 mins
호텔 몬토레 오키나와 스파＆리조트,2023-08-13,2023-08-14,오키나와,호텔,8.8,4성급,468470,Naha Airport,15.3 km,24 mins
더 유인치 호텔 난조,2023-08-13,2023-08-14,오키나와,호텔,8.5,3성급,127867,Naha Airport,17.3 km,30 mins
호텔 그레이스리 나하,2023-08-13,2023-08-14,오키나와,호텔,8.5,3성급,71918,Naha Airport,5.0 km,13 mins
호텔 WBF 아트 스테이 나하,2023-08-13,2023-08-14,오키나와,호텔,8.6,3성급,77609,Naha Airport,6.0 km,15 mins
GRG 호텔 나하,2023-08-13,2023-08-14,오키나와,호텔,8.2,3성급,38818,Naha Airport,5.2 km,11 mins
호텔 팜 로열 나하 고쿠사이 스트리트,2023-08-13,2023-08-14,오키나와,호텔,8.2,3성급,88086,Naha Airport,5.7 km,17 mins
호텔 오키나와 위드 산리오 캐릭터,2023-08-13,2023-08-14,오키나와,호텔,8.3,3성급,114890,Naha Airport,15.3 km,24 mins
리가 로얄 그랑 오키나와,2023-08-13,2023-08-14,오키나와,호텔,8.9,4성급,180841,Naha Airport,4.2 km,8 mins
호텔 로코어 나하,2023-08-13,2023-08-14,오키나와,호텔,8.5,3성급,72766,Naha Airport,4.7 km,11 mins
오키나와 나하나 호텔 & 스파,2023-08-13,2023-08-14,오키나와,호텔,7.7,4성급,66807,Naha Airport,15.3 km,24 mins
도큐 스테이 오키나와 나하,2023-08-13,2023-08-14,오키나와,호텔,8.7,3성급,126028,Naha Airport,4.7 km,11 mins
더 리츠칼튼 오키나와,2023-08-13,2023-08-14,오키나와,호텔,8.8,5성급,1217797,Naha Airport,75.0 km,1 hour 8 mins
컴포트 호텔 나하 프리펙추얼 오피스,2023-08-13,2023-08-14,오키나와,호텔,7.8,3성급,58467,Naha Airport,4.7 km,11 mins
라젠트 호텔 오키니와 자탄,2023-08-13,2023-08-14,오키나와,호텔,8.7,4성급,31770,Naha Airport,15.3 km,24 mins
르와지르 스파 타워 나하,2023-08-13,2023-08-14,오키나와,호텔,8.2,4성급,222351,Naha Airport,4.7 km,11 mins
머큐어 호텔 오키나와 나하,2023-08-13,2023-08-14,오키나와,호텔,8.2,3성급,84225,Naha Airport,5.0 km,12 mins
다이와 로이넷 호텔 나하 고쿠사이도리,2023-08-13,2023-08-14,오키나와,호텔,8.4,3성급,70259,Naha Airport,7.9 km,19 mins
오키나와 가리유시 비치 리조트 오션 스파,2023-08-13,2023-08-14,오키나와,호텔,7.9,4성급,316989,Naha Airport,64.1 km,1 hour 6 mins
쉐라톤 오키나와 선마리나 리조트,2023-08-13,2023-08-14,오키나와,호텔,8.6,4성급,842464,Naha Airport,51.0 km,53 mins
오키나와 하버뷰 호텔,2023-08-13,2023-08-14,오키나와,호텔,8.1,4성급,129661,Naha Airport,15.3 km,24 mins
호텔 오션 오키나와,2023-08-13,2023-08-14,오키나와,호텔,8.6,3성급,147529,Naha Airport,15.3 km,24 mins
오쿠마 프라이빗 비치 & 리조트,2023-08-13,2023-08-14,오키나와,호텔,8.5,4성급,541632,Naha Airport,105 km,1 hour 45 mins
